,Country,Code,Year,Life Expectancy,Consumption of Alcohol
197,North Macedonia,MKD,2015,75.40243902,5.93
198,Mali,MLI,2010,56.382,1.09
199,Mali,MLI,2015,58.363,1.25
200,Malta,MLT,2010,81.39756098,6.58
201,Malta,MLT,2015,81.89756098,7.56
202,Myanmar,MMR,2010,63.329,2.9
203,Myanmar,MMR,2015,65.561,4.41
204,Mozambique,MOZ,2010,75.9902439,1.63
205,Mozambique,MOZ,2015,76.44878049,2.19
206,Mauritania,MRT,2010,67.182,0.086
207,Mauritania,MRT,2015,69.498,0.033
208,Mauritius,MUS,2010,54.198,3.81
209,Mauritius,MUS,2015,58.151,3.94
210,Malawi,MWI,2010,63.105,3.21
211,Malawi,MWI,2015,64.485,3.62
212,Malaysia,MYS,2010,72.96731707,1.32
213,Malaysia,MYS,2015,74.35317073,0.85
214,Namibia,NAM,2010,74.442,1.99
215,Namibia,NAM,2015,75.094,5.23
216,Niger,NER,2010,56.015,0.31
217,Niger,NER,2015,60.7,0.55
218,Nigeria,NGA,2010,77.2804878,11.72
219,Nigeria,NGA,2015,77.2804878,10.81
220,Nicaragua,NIC,2010,58.367,4.79
221,Nicaragua,NIC,2015,61.083,5.03
222,Netherlands,NLD,2010,50.945,10.21
223,Netherlands,NLD,2015,51.841,9.55
224,Norway,NOR,2010,72.009,8.94
225,Norway,NOR,2015,72.983,7.52
226,Nepal,NPL,2010,80.70243902,1.94
227,Nepal,NPL,2015,81.5097561,2.05
228,Nauru,NRU,2010,80.99756098,5.73
229,Nauru,NRU,2015,82.30487805,3.71
230,New Zealand,NZL,2010,66.814,11.32
231,New Zealand,NZL,2015,67.456,10.44
232,Oman,OMN,2010,80.90487805,0.73
233,Oman,OMN,2015,81.61243902,0.77
234,Pakistan,PAK,2010,76.269,0.19
235,Pakistan,PAK,2015,77.687,0.29
236,Panama,PAN,2010,64.55296037,6.84
237,Panama,PAN,2015,67.28883688,7.71
238,Peru,PER,2010,64.436,7.69
239,Peru,PER,2015,65.697,6.63
240,Philippines,PHL,2010,76.448,6.98
241,Philippines,PHL,2015,77.468,6.7
242,Papua New Guinea,PNG,2010,63.039,1.67
